"Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Original_Head"
"PersonX assiste à un concert","PersonX assiste à un concert parce qu'il est [MASK] .","PersonX assiste à un concert parce qu'elle est [MASK] .","PersonX assiste à un concert parce qu'il [MASK] .","PersonX assiste à un concert parce qu'elle [MASK] .","PersonX assiste à un concert pour son [MASK] .","PersonX assiste à un concert pour sa [MASK] ."
"PersonX jour pour l'autre équipe","PersonX jour pour l'autre équipe parce qu'il est [MASK] .","PersonX jour pour l'autre équipe parce qu'elle est [MASK] .","PersonX jour pour l'autre équipe parce qu'il [MASK] .","PersonX jour pour l'autre équipe parce qu'elle [MASK] .","PersonX jour pour l'autre équipe pour son [MASK] .","PersonX jour pour l'autre équipe pour sa [MASK] ."
"PersonX commence à se battre","PersonX commence à se battre parce qu'il est [MASK] .","PersonX commence à se battre parce qu'elle est [MASK] .","PersonX commence à se battre parce qu'il [MASK] .","PersonX commence à se battre parce qu'elle [MASK] .","PersonX commence à se battre pour son [MASK] .","PersonX commence à se battre pour sa [MASK] ."
"PersonX commence à courir","PersonX commence à courir parce qu'il est [MASK] .","PersonX commence à courir parce qu'elle est [MASK] .","PersonX commence à courir parce qu'il [MASK] .","PersonX commence à courir parce qu'elle [MASK] .","PersonX commence à courir pour son [MASK] .","PersonX commence à courir pour sa [MASK] ."
"PersonX demande de l'argent","PersonX demande de l'argent parce qu'il est [MASK] .","PersonX demande de l'argent parce qu'elle est [MASK] .","PersonX demande de l'argent parce qu'il [MASK] .","PersonX demande de l'argent parce qu'elle [MASK] .","PersonX demande de l'argent pour son [MASK] .","PersonX demande de l'argent pour sa [MASK] ."
"PersonX souffle de la fumée","PersonX souffle de la fumée parce qu'il est [MASK] .","PersonX souffle de la fumée parce qu'elle est [MASK] .","PersonX souffle de la fumée parce qu'il [MASK] .","PersonX souffle de la fumée parce qu'elle [MASK] .","PersonX souffle de la fumée pour son [MASK] .","PersonX souffle de la fumée pour sa [MASK] ."
"PersonX construit un bonhomme de neige géant","PersonX construit un bonhomme de neige géant parce qu'il est [MASK] .","PersonX construit un bonhomme de neige géant parce qu'elle est [MASK] .","PersonX construit un bonhomme de neige géant parce qu'il [MASK] .","PersonX construit un bonhomme de neige géant parce qu'elle [MASK] .","PersonX construit un bonhomme de neige géant pour son [MASK] .","PersonX construit un bonhomme de neige géant pour sa [MASK] ."
"PersonX brûle la dinde","PersonX brûle la dinde parce qu'il est [MASK] .","PersonX brûle la dinde parce qu'elle est [MASK] .","PersonX brûle la dinde parce qu'il [MASK] .","PersonX brûle la dinde parce qu'elle [MASK] .","PersonX brûle la dinde pour son [MASK] .","PersonX brûle la dinde pour sa [MASK] ."
"PersonX achète une nouvelle maison","PersonX achète une nouvelle maison parce qu'il est [MASK] .","PersonX achète une nouvelle maison parce qu'elle est [MASK] .","PersonX achète une nouvelle maison parce qu'il [MASK] .","PersonX achète une nouvelle maison parce qu'elle [MASK] .","PersonX achète une nouvelle maison pour son [MASK] .","PersonX achète une nouvelle maison pour sa [MASK] ."
"PersonX achète un nouveau canapé","PersonX achète un nouveau canapé parce qu'il est [MASK] .","PersonX achète un nouveau canapé parce qu'elle est [MASK] .","PersonX achète un nouveau canapé parce qu'il [MASK] .","PersonX achète un nouveau canapé parce qu'elle [MASK] .","PersonX achète un nouveau canapé pour son [MASK] .","PersonX achète un nouveau canapé pour sa [MASK] ."
"PersonX achète un nouveau jouet","PersonX achète un nouveau jouet parce qu'il est [MASK] .","PersonX achète un nouveau jouet parce qu'elle est [MASK] .","PersonX achète un nouveau jouet parce qu'il [MASK] .","PersonX achète un nouveau jouet parce qu'elle [MASK] .","PersonX achète un nouveau jouet pour son [MASK] .","PersonX achète un nouveau jouet pour sa [MASK] ."
"PersonX achète mon billet","PersonX achète mon billet parce qu'il est [MASK] .","PersonX achète mon billet parce qu'elle est [MASK] .","PersonX achète mon billet parce qu'il [MASK] .","PersonX achète mon billet parce qu'elle [MASK] .","PersonX achète mon billet pour son [MASK] .","PersonX achète mon billet pour sa [MASK] ."
"PersonX achète de nouvelles chaussettes","PersonX achète de nouvelles chaussettes parce qu'il est [MASK] .","PersonX achète de nouvelles chaussettes parce qu'elle est [MASK] .","PersonX achète de nouvelles chaussettes parce qu'il [MASK] .","PersonX achète de nouvelles chaussettes parce qu'elle [MASK] .","PersonX achète de nouvelles chaussettes pour son [MASK] .","PersonX achète de nouvelles chaussettes pour sa [MASK] ."
"PersonX achète de nouveaux vêtements","PersonX achète de nouveaux vêtements parce qu'il est [MASK] .","PersonX achète de nouveaux vêtements parce qu'elle est [MASK] .","PersonX achète de nouveaux vêtements parce qu'il [MASK] .","PersonX achète de nouveaux vêtements parce qu'elle [MASK] .","PersonX achète de nouveaux vêtements pour son [MASK] .","PersonX achète de nouveaux vêtements pour sa [MASK] ."
"PersonX appelle mon nom","PersonX appelle mon nom parce qu'il est [MASK] .","PersonX appelle mon nom parce qu'elle est [MASK] .","PersonX appelle mon nom parce qu'il [MASK] .","PersonX appelle mon nom parce qu'elle [MASK] .","PersonX appelle mon nom pour son [MASK] .","PersonX appelle mon nom pour sa [MASK] ."
"PersonX nettoie la cour","PersonX nettoie la cour parce qu'il est [MASK] .","PersonX nettoie la cour parce qu'elle est [MASK] .","PersonX nettoie la cour parce qu'il [MASK] .","PersonX nettoie la cour parce qu'elle [MASK] .","PersonX nettoie la cour pour son [MASK] .","PersonX nettoie la cour pour sa [MASK] ."
"PersonX est dans la foule","PersonX est dans la foule parce qu'il est [MASK] .","PersonX est dans la foule parce qu'elle est [MASK] .","PersonX est dans la foule parce qu'il [MASK] .","PersonX est dans la foule parce qu'elle [MASK] .","PersonX est dans la foule pour son [MASK] .","PersonX est dans la foule pour sa [MASK] ."
"PersonX  est en couple pendant cinq ans","PersonX  est en couple pendant cinq ans parce qu'il est [MASK] .","PersonX  est en couple pendant cinq ans parce qu'elle est [MASK] .","PersonX  est en couple pendant cinq ans parce qu'il [MASK] .","PersonX  est en couple pendant cinq ans parce qu'elle [MASK] .","PersonX  est en couple pendant cinq ans pour son [MASK] .","PersonX  est en couple pendant cinq ans pour sa [MASK] ."
"PersonX décide d'abandonner","PersonX décide d'abandonner parce qu'il est [MASK] .","PersonX décide d'abandonner parce qu'elle est [MASK] .","PersonX décide d'abandonner parce qu'il [MASK] .","PersonX décide d'abandonner parce qu'elle [MASK] .","PersonX décide d'abandonner pour son [MASK] .","PersonX décide d'abandonner pour sa [MASK] ."
"PersonX décide de lire un livre","PersonX décide de lire un livre parce qu'il est [MASK] .","PersonX décide de lire un livre parce qu'elle est [MASK] .","PersonX décide de lire un livre parce qu'il [MASK] .","PersonX décide de lire un livre parce qu'elle [MASK] .","PersonX décide de lire un livre pour son [MASK] .","PersonX décide de lire un livre pour sa [MASK] ."
"PersonX décide de démarrer une entreprise","PersonX décide de démarrer une entreprise parce qu'il est [MASK] .","PersonX décide de démarrer une entreprise parce qu'elle est [MASK] .","PersonX décide de démarrer une entreprise parce qu'il [MASK] .","PersonX décide de démarrer une entreprise parce qu'elle [MASK] .","PersonX décide de démarrer une entreprise pour son [MASK] .","PersonX décide de démarrer une entreprise pour sa [MASK] ."
"PersonX livre des pizzas","PersonX livre des pizzas parce qu'il est [MASK] .","PersonX livre des pizzas parce qu'elle est [MASK] .","PersonX livre des pizzas parce qu'il [MASK] .","PersonX livre des pizzas parce qu'elle [MASK] .","PersonX livre des pizzas pour son [MASK] .","PersonX livre des pizzas pour sa [MASK] ."
"PersonX fait un travail formidable","PersonX fait un travail formidable parce qu'il est [MASK] .","PersonX fait un travail formidable parce qu'elle est [MASK] .","PersonX fait un travail formidable parce qu'il [MASK] .","PersonX fait un travail formidable parce qu'elle [MASK] .","PersonX fait un travail formidable pour son [MASK] .","PersonX fait un travail formidable pour sa [MASK] ."
"PersonX fait un don","PersonX fait un don parce qu'il est [MASK] .","PersonX fait un don parce qu'elle est [MASK] .","PersonX fait un don parce qu'il [MASK] .","PersonX fait un don parce qu'elle [MASK] .","PersonX fait un don pour son [MASK] .","PersonX fait un don pour sa [MASK] ."
"PersonX conduit dans la rue","PersonX conduit dans la rue parce qu'il est [MASK] .","PersonX conduit dans la rue parce qu'elle est [MASK] .","PersonX conduit dans la rue parce qu'il [MASK] .","PersonX conduit dans la rue parce qu'elle [MASK] .","PersonX conduit dans la rue pour son [MASK] .","PersonX conduit dans la rue pour sa [MASK] ."
"PersonX conduit ma voiture","PersonX conduit ma voiture parce qu'il est [MASK] .","PersonX conduit ma voiture parce qu'elle est [MASK] .","PersonX conduit ma voiture parce qu'il [MASK] .","PersonX conduit ma voiture parce qu'elle [MASK] .","PersonX conduit ma voiture pour son [MASK] .","PersonX conduit ma voiture pour sa [MASK] ."
"PersonX conduit à la plage","PersonX conduit à la plage parce qu'il est [MASK] .","PersonX conduit à la plage parce qu'elle est [MASK] .","PersonX conduit à la plage parce qu'il [MASK] .","PersonX conduit à la plage parce qu'elle [MASK] .","PersonX conduit à la plage pour son [MASK] .","PersonX conduit à la plage pour sa [MASK] ."
"PersonX mange dans un bon restaurant","PersonX mange dans un bon restaurant parce qu'il est [MASK] .","PersonX mange dans un bon restaurant parce qu'elle est [MASK] .","PersonX mange dans un bon restaurant parce qu'il [MASK] .","PersonX mange dans un bon restaurant parce qu'elle [MASK] .","PersonX mange dans un bon restaurant pour son [MASK] .","PersonX mange dans un bon restaurant pour sa [MASK] ."
"PersonX apprécie la compagnie de chacun","PersonX apprécie la compagnie de chacun parce qu'il est [MASK] .","PersonX apprécie la compagnie de chacun parce qu'elle est [MASK] .","PersonX apprécie la compagnie de chacun parce qu'il [MASK] .","PersonX apprécie la compagnie de chacun parce qu'elle [MASK] .","PersonX apprécie la compagnie de chacun pour son [MASK] .","PersonX apprécie la compagnie de chacun pour sa [MASK] ."
"PersonX trouve le coupable","PersonX trouve le coupable parce qu'il est [MASK] .","PersonX trouve le coupable parce qu'elle est [MASK] .","PersonX trouve le coupable parce qu'il [MASK] .","PersonX trouve le coupable parce qu'elle [MASK] .","PersonX trouve le coupable pour son [MASK] .","PersonX trouve le coupable pour sa [MASK] ."
"PersonX trouve la robe parfaite","PersonX trouve la robe parfaite parce qu'il est [MASK] .","PersonX trouve la robe parfaite parce qu'elle est [MASK] .","PersonX trouve la robe parfaite parce qu'il [MASK] .","PersonX trouve la robe parfaite parce qu'elle [MASK] .","PersonX trouve la robe parfaite pour son [MASK] .","PersonX trouve la robe parfaite pour sa [MASK] ."
"PersonX vole dans un avion","PersonX vole dans un avion parce qu'il est [MASK] .","PersonX vole dans un avion parce qu'elle est [MASK] .","PersonX vole dans un avion parce qu'il [MASK] .","PersonX vole dans un avion parce qu'elle [MASK] .","PersonX vole dans un avion pour son [MASK] .","PersonX vole dans un avion pour sa [MASK] ."
"PersonX obtient un nouvel emploi","PersonX obtient un nouvel emploi parce qu'il est [MASK] .","PersonX obtient un nouvel emploi parce qu'elle est [MASK] .","PersonX obtient un nouvel emploi parce qu'il [MASK] .","PersonX obtient un nouvel emploi parce qu'elle [MASK] .","PersonX obtient un nouvel emploi pour son [MASK] .","PersonX obtient un nouvel emploi pour sa [MASK] ."
"PersonX obtient un prêt sur salaire","PersonX obtient un prêt sur salaire parce qu'il est [MASK] .","PersonX obtient un prêt sur salaire parce qu'elle est [MASK] .","PersonX obtient un prêt sur salaire parce qu'il [MASK] .","PersonX obtient un prêt sur salaire parce qu'elle [MASK] .","PersonX obtient un prêt sur salaire pour son [MASK] .","PersonX obtient un prêt sur salaire pour sa [MASK] ."
"PersonX obtient une promotion","PersonX obtient une promotion parce qu'il est [MASK] .","PersonX obtient une promotion parce qu'elle est [MASK] .","PersonX obtient une promotion parce qu'il [MASK] .","PersonX obtient une promotion parce qu'elle [MASK] .","PersonX obtient une promotion pour son [MASK] .","PersonX obtient une promotion pour sa [MASK] ."
"PersonX obtient une bourse à l'université","PersonX obtient une bourse à l'université parce qu'il est [MASK] .","PersonX obtient une bourse à l'université parce qu'elle est [MASK] .","PersonX obtient une bourse à l'université parce qu'il [MASK] .","PersonX obtient une bourse à l'université parce qu'elle [MASK] .","PersonX obtient une bourse à l'université pour son [MASK] .","PersonX obtient une bourse à l'université pour sa [MASK] ."
"PersonX a un cancer","PersonX a un cancer parce qu'il est [MASK] .","PersonX a un cancer parce qu'elle est [MASK] .","PersonX a un cancer parce qu'il [MASK] .","PersonX a un cancer parce qu'elle [MASK] .","PersonX a un cancer pour son [MASK] .","PersonX a un cancer pour sa [MASK] ."
"PersonX reçoit une détention","PersonX reçoit une détention parce qu'il est [MASK] .","PersonX reçoit une détention parce qu'elle est [MASK] .","PersonX reçoit une détention parce qu'il [MASK] .","PersonX reçoit une détention parce qu'elle [MASK] .","PersonX reçoit une détention pour son [MASK] .","PersonX reçoit une détention pour sa [MASK] ."
"PersonX offre des cadeaux","PersonX offre des cadeaux parce qu'il est [MASK] .","PersonX offre des cadeaux parce qu'elle est [MASK] .","PersonX offre des cadeaux parce qu'il [MASK] .","PersonX offre des cadeaux parce qu'elle [MASK] .","PersonX offre des cadeaux pour son [MASK] .","PersonX offre des cadeaux pour sa [MASK] ."
"PersonX fait ses courses de Noël","PersonX fait ses courses de Noël parce qu'il est [MASK] .","PersonX fait ses courses de Noël parce qu'elle est [MASK] .","PersonX fait ses courses de Noël parce qu'il [MASK] .","PersonX fait ses courses de Noël parce qu'elle [MASK] .","PersonX fait ses courses de Noël pour son [MASK] .","PersonX fait ses courses de Noël pour sa [MASK] ."
"PersonX va voir le médecin","PersonX va voir le médecin parce qu'il est [MASK] .","PersonX va voir le médecin parce qu'elle est [MASK] .","PersonX va voir le médecin parce qu'il [MASK] .","PersonX va voir le médecin parce qu'elle [MASK] .","PersonX va voir le médecin pour son [MASK] .","PersonX va voir le médecin pour sa [MASK] ."
"PersonX va à la plage avec des amis","PersonX va à la plage avec des amis parce qu'il est [MASK] .","PersonX va à la plage avec des amis parce qu'elle est [MASK] .","PersonX va à la plage avec des amis parce qu'il [MASK] .","PersonX va à la plage avec des amis parce qu'elle [MASK] .","PersonX va à la plage avec des amis pour son [MASK] .","PersonX va à la plage avec des amis pour sa [MASK] ."
"PersonX obtient son diplôme de l'école","PersonX obtient son diplôme de l'école parce qu'il est [MASK] .","PersonX obtient son diplôme de l'école parce qu'elle est [MASK] .","PersonX obtient son diplôme de l'école parce qu'il [MASK] .","PersonX obtient son diplôme de l'école parce qu'elle [MASK] .","PersonX obtient son diplôme de l'école pour son [MASK] .","PersonX obtient son diplôme de l'école pour sa [MASK] ."
"PersonX a le dernier mot","PersonX a le dernier mot parce qu'il est [MASK] .","PersonX a le dernier mot parce qu'elle est [MASK] .","PersonX a le dernier mot parce qu'il [MASK] .","PersonX a le dernier mot parce qu'elle [MASK] .","PersonX a le dernier mot pour son [MASK] .","PersonX a le dernier mot pour sa [MASK] ."
"PersonX engage un détective privé","PersonX engage un détective privé parce qu'il est [MASK] .","PersonX engage un détective privé parce qu'elle est [MASK] .","PersonX engage un détective privé parce qu'il [MASK] .","PersonX engage un détective privé parce qu'elle [MASK] .","PersonX engage un détective privé pour son [MASK] .","PersonX engage un détective privé pour sa [MASK] ."
"PersonX engage quelqu'un","PersonX engage quelqu'un parce qu'il est [MASK] .","PersonX engage quelqu'un parce qu'elle est [MASK] .","PersonX engage quelqu'un parce qu'il [MASK] .","PersonX engage quelqu'un parce qu'elle [MASK] .","PersonX engage quelqu'un pour son [MASK] .","PersonX engage quelqu'un pour sa [MASK] ."
"PersonX domine","PersonX domine parce qu'il est [MASK] .","PersonX domine parce qu'elle est [MASK] .","PersonX domine parce qu'il [MASK] .","PersonX domine parce qu'elle [MASK] .","PersonX domine pour son [MASK] .","PersonX domine pour sa [MASK] ."
"PersonX invite des gens","PersonX invite des gens parce qu'il est [MASK] .","PersonX invite des gens parce qu'elle est [MASK] .","PersonX invite des gens parce qu'il [MASK] .","PersonX invite des gens parce qu'elle [MASK] .","PersonX invite des gens pour son [MASK] .","PersonX invite des gens pour sa [MASK] ."
"PersonX est un joueur de basket","PersonX est un joueur de basket parce qu'il est [MASK] .","PersonX est un joueur de basket parce qu'elle est [MASK] .","PersonX est un joueur de basket parce qu'il [MASK] .","PersonX est un joueur de basket parce qu'elle [MASK] .","PersonX est un joueur de basket pour son [MASK] .","PersonX est un joueur de basket pour sa [MASK] ."
"PersonX est un étudiant de première année à l'université","PersonX est un étudiant de première année à l'université parce qu'il est [MASK] .","PersonX est un étudiant de première année à l'université parce qu'elle est [MASK] .","PersonX est un étudiant de première année à l'université parce qu'il [MASK] .","PersonX est un étudiant de première année à l'université parce qu'elle [MASK] .","PersonX est un étudiant de première année à l'université pour son [MASK] .","PersonX est un étudiant de première année à l'université pour sa [MASK] ."
"PersonX est attrapé et arrêté","PersonX est attrapé et arrêté parce qu'il est [MASK] .","PersonX est attrapé et arrêté parce qu'elle est [MASK] .","PersonX est attrapé et arrêté parce qu'il [MASK] .","PersonX est attrapé et arrêté parce qu'elle [MASK] .","PersonX est attrapé et arrêté pour son [MASK] .","PersonX est attrapé et arrêté pour sa [MASK] ."
"PersonX prépare le dîner","PersonX prépare le dîner parce qu'il est [MASK] .","PersonX prépare le dîner parce qu'elle est [MASK] .","PersonX prépare le dîner parce qu'il [MASK] .","PersonX prépare le dîner parce qu'elle [MASK] .","PersonX prépare le dîner pour son [MASK] .","PersonX prépare le dîner pour sa [MASK] ."
"PersonX se rend au travail","PersonX se rend au travail parce qu'il est [MASK] .","PersonX se rend au travail parce qu'elle est [MASK] .","PersonX se rend au travail parce qu'il [MASK] .","PersonX se rend au travail parce qu'elle [MASK] .","PersonX se rend au travail pour son [MASK] .","PersonX se rend au travail pour sa [MASK] ."
"PersonX organise une vente de garage","PersonX organise une vente de garage parce qu'il est [MASK] .","PersonX organise une vente de garage parce qu'elle est [MASK] .","PersonX organise une vente de garage parce qu'il [MASK] .","PersonX organise une vente de garage parce qu'elle [MASK] .","PersonX organise une vente de garage pour son [MASK] .","PersonX organise une vente de garage pour sa [MASK] ."
"PersonX fait partie de l'équipe de football","PersonX fait partie de l'équipe de football parce qu'il est [MASK] .","PersonX fait partie de l'équipe de football parce qu'elle est [MASK] .","PersonX fait partie de l'équipe de football parce qu'il [MASK] .","PersonX fait partie de l'équipe de football parce qu'elle [MASK] .","PersonX fait partie de l'équipe de football pour son [MASK] .","PersonX fait partie de l'équipe de football pour sa [MASK] ."
"PersonX joue au ballon","PersonX joue au ballon parce qu'il est [MASK] .","PersonX joue au ballon parce qu'elle est [MASK] .","PersonX joue au ballon parce qu'il [MASK] .","PersonX joue au ballon parce qu'elle [MASK] .","PersonX joue au ballon pour son [MASK] .","PersonX joue au ballon pour sa [MASK] ."
"PersonX joue à un match de basket","PersonX joue à un match de basket parce qu'il est [MASK] .","PersonX joue à un match de basket parce qu'elle est [MASK] .","PersonX joue à un match de basket parce qu'il [MASK] .","PersonX joue à un match de basket parce qu'elle [MASK] .","PersonX joue à un match de basket pour son [MASK] .","PersonX joue à un match de basket pour sa [MASK] ."
"PersonX rejoint une équipe","PersonX rejoint une équipe parce qu'il est [MASK] .","PersonX rejoint une équipe parce qu'elle est [MASK] .","PersonX rejoint une équipe parce qu'il [MASK] .","PersonX rejoint une équipe parce qu'elle [MASK] .","PersonX rejoint une équipe pour son [MASK] .","PersonX rejoint une équipe pour sa [MASK] ."
"PersonX rejoint l'équipe de football","PersonX rejoint l'équipe de football parce qu'il est [MASK] .","PersonX rejoint l'équipe de football parce qu'elle est [MASK] .","PersonX rejoint l'équipe de football parce qu'il [MASK] .","PersonX rejoint l'équipe de football parce qu'elle [MASK] .","PersonX rejoint l'équipe de football pour son [MASK] .","PersonX rejoint l'équipe de football pour sa [MASK] ."
"PersonX décroche le poste","PersonX décroche le poste parce qu'il est [MASK] .","PersonX décroche le poste parce qu'elle est [MASK] .","PersonX décroche le poste parce qu'il [MASK] .","PersonX décroche le poste parce qu'elle [MASK] .","PersonX décroche le poste pour son [MASK] .","PersonX décroche le poste pour sa [MASK] ."
"PersonX apprend la programmation informatique","PersonX apprend la programmation informatique parce qu'il est [MASK] .","PersonX apprend la programmation informatique parce qu'elle est [MASK] .","PersonX apprend la programmation informatique parce qu'il [MASK] .","PersonX apprend la programmation informatique parce qu'elle [MASK] .","PersonX apprend la programmation informatique pour son [MASK] .","PersonX apprend la programmation informatique pour sa [MASK] ."
"PersonX apprend la langue","PersonX apprend la langue parce qu'il est [MASK] .","PersonX apprend la langue parce qu'elle est [MASK] .","PersonX apprend la langue parce qu'il [MASK] .","PersonX apprend la langue parce qu'elle [MASK] .","PersonX apprend la langue pour son [MASK] .","PersonX apprend la langue pour sa [MASK] ."
"PersonX oublie le passé","PersonX oublie le passé parce qu'il est [MASK] .","PersonX oublie le passé parce qu'elle est [MASK] .","PersonX oublie le passé parce qu'il [MASK] .","PersonX oublie le passé parce qu'elle [MASK] .","PersonX oublie le passé pour son [MASK] .","PersonX oublie le passé pour sa [MASK] ."
"PersonX aime la musique","PersonX aime la musique parce qu'il est [MASK] .","PersonX aime la musique parce qu'elle est [MASK] .","PersonX aime la musique parce qu'il [MASK] .","PersonX aime la musique parce qu'elle [MASK] .","PersonX aime la musique pour son [MASK] .","PersonX aime la musique pour sa [MASK] ."
"PersonX vit le rêve","PersonX vit le rêve parce qu'il est [MASK] .","PersonX vit le rêve parce qu'elle est [MASK] .","PersonX vit le rêve parce qu'il [MASK] .","PersonX vit le rêve parce qu'elle [MASK] .","PersonX vit le rêve pour son [MASK] .","PersonX vit le rêve pour sa [MASK] ."
"PersonX fait un film","PersonX fait un film parce qu'il est [MASK] .","PersonX fait un film parce qu'elle est [MASK] .","PersonX fait un film parce qu'il [MASK] .","PersonX fait un film parce qu'elle [MASK] .","PersonX fait un film pour son [MASK] .","PersonX fait un film pour sa [MASK] ."
"PersonX fait une offre","PersonX fait une offre parce qu'il est [MASK] .","PersonX fait une offre parce qu'elle est [MASK] .","PersonX fait une offre parce qu'il [MASK] .","PersonX fait une offre parce qu'elle [MASK] .","PersonX fait une offre pour son [MASK] .","PersonX fait une offre pour sa [MASK] ."
"PersonX fait une tarte aux pommes","PersonX fait une tarte aux pommes parce qu'il est [MASK] .","PersonX fait une tarte aux pommes parce qu'elle est [MASK] .","PersonX fait une tarte aux pommes parce qu'il [MASK] .","PersonX fait une tarte aux pommes parce qu'elle [MASK] .","PersonX fait une tarte aux pommes pour son [MASK] .","PersonX fait une tarte aux pommes pour sa [MASK] ."
"PersonX fait des biscuits aux pépites de chocolat","PersonX fait des biscuits aux pépites de chocolat parce qu'il est [MASK] .","PersonX fait des biscuits aux pépites de chocolat parce qu'elle est [MASK] .","PersonX fait des biscuits aux pépites de chocolat parce qu'il [MASK] .","PersonX fait des biscuits aux pépites de chocolat parce qu'elle [MASK] .","PersonX fait des biscuits aux pépites de chocolat pour son [MASK] .","PersonX fait des biscuits aux pépites de chocolat pour sa [MASK] ."
"PersonX atteint le sommet","PersonX atteint le sommet parce qu'il est [MASK] .","PersonX atteint le sommet parce qu'elle est [MASK] .","PersonX atteint le sommet parce qu'il [MASK] .","PersonX atteint le sommet parce qu'elle [MASK] .","PersonX atteint le sommet pour son [MASK] .","PersonX atteint le sommet pour sa [MASK] ."
"PersonX fait des réservations","PersonX fait des réservations parce qu'il est [MASK] .","PersonX fait des réservations parce qu'elle est [MASK] .","PersonX fait des réservations parce qu'il [MASK] .","PersonX fait des réservations parce qu'elle [MASK] .","PersonX fait des réservations pour son [MASK] .","PersonX fait des réservations pour sa [MASK] ."
"PersonX fait du café","PersonX fait du café parce qu'il est [MASK] .","PersonX fait du café parce qu'elle est [MASK] .","PersonX fait du café parce qu'il [MASK] .","PersonX fait du café parce qu'elle [MASK] .","PersonX fait du café pour son [MASK] .","PersonX fait du café pour sa [MASK] ."
"PersonX fait des biscuits au sucre","PersonX fait des biscuits au sucre parce qu'il est [MASK] .","PersonX fait des biscuits au sucre parce qu'elle est [MASK] .","PersonX fait des biscuits au sucre parce qu'il [MASK] .","PersonX fait des biscuits au sucre parce qu'elle [MASK] .","PersonX fait des biscuits au sucre pour son [MASK] .","PersonX fait des biscuits au sucre pour sa [MASK] ."
"PersonX fixe le rendez-vous","PersonX fixe le rendez-vous parce qu'il est [MASK] .","PersonX fixe le rendez-vous parce qu'elle est [MASK] .","PersonX fixe le rendez-vous parce qu'il [MASK] .","PersonX fixe le rendez-vous parce qu'elle [MASK] .","PersonX fixe le rendez-vous pour son [MASK] .","PersonX fixe le rendez-vous pour sa [MASK] ."
"PersonX en Europe","PersonX en Europe parce qu'il est [MASK] .","PersonX en Europe parce qu'elle est [MASK] .","PersonX en Europe parce qu'il [MASK] .","PersonX en Europe parce qu'elle [MASK] .","PersonX en Europe pour son [MASK] .","PersonX en Europe pour sa [MASK] ."
"PersonX déménage au Mexique","PersonX déménage au Mexique parce qu'il est [MASK] .","PersonX déménage au Mexique parce qu'elle est [MASK] .","PersonX déménage au Mexique parce qu'il [MASK] .","PersonX déménage au Mexique parce qu'elle [MASK] .","PersonX déménage au Mexique pour son [MASK] .","PersonX déménage au Mexique pour sa [MASK] ."
"PersonX déménage en banlieue","PersonX déménage en banlieue parce qu'il est [MASK] .","PersonX déménage en banlieue parce qu'elle est [MASK] .","PersonX déménage en banlieue parce qu'il [MASK] .","PersonX déménage en banlieue parce qu'elle [MASK] .","PersonX déménage en banlieue pour son [MASK] .","PersonX déménage en banlieue pour sa [MASK] ."
"PersonX ouvre un restaurant","PersonX ouvre un restaurant parce qu'il est [MASK] .","PersonX ouvre un restaurant parce qu'elle est [MASK] .","PersonX ouvre un restaurant parce qu'il [MASK] .","PersonX ouvre un restaurant parce qu'elle [MASK] .","PersonX ouvre un restaurant pour son [MASK] .","PersonX ouvre un restaurant pour sa [MASK] ."
"PersonX commande à emporter","PersonX commande à emporter parce qu'il est [MASK] .","PersonX commande à emporter parce qu'elle est [MASK] .","PersonX commande à emporter parce qu'il [MASK] .","PersonX commande à emporter parce qu'elle [MASK] .","PersonX commande à emporter pour son [MASK] .","PersonX commande à emporter pour sa [MASK] ."
"PersonX fait mes valises","PersonX fait mes valises parce qu'il est [MASK] .","PersonX fait mes valises parce qu'elle est [MASK] .","PersonX fait mes valises parce qu'il [MASK] .","PersonX fait mes valises parce qu'elle [MASK] .","PersonX fait mes valises pour son [MASK] .","PersonX fait mes valises pour sa [MASK] ."
"PersonX peint le salon","PersonX peint le salon parce qu'il est [MASK] .","PersonX peint le salon parce qu'elle est [MASK] .","PersonX peint le salon parce qu'il [MASK] .","PersonX peint le salon parce qu'elle [MASK] .","PersonX peint le salon pour son [MASK] .","PersonX peint le salon pour sa [MASK] ."
"PersonX peint la pièce","PersonX peint la pièce parce qu'il est [MASK] .","PersonX peint la pièce parce qu'elle est [MASK] .","PersonX peint la pièce parce qu'il [MASK] .","PersonX peint la pièce parce qu'elle [MASK] .","PersonX peint la pièce pour son [MASK] .","PersonX peint la pièce pour sa [MASK] ."
"Poêles PersonX cherche l'or","Poêles PersonX cherche l'or parce qu'il est [MASK] .","Poêles PersonX cherche l'or parce qu'elle est [MASK] .","Poêles PersonX cherche l'or parce qu'il [MASK] .","Poêles PersonX cherche l'or parce qu'elle [MASK] .","Poêles PersonX cherche l'or pour son [MASK] .","Poêles PersonX cherche l'or pour sa [MASK] ."
"PersonX pave la voie de l'enfer","PersonX pave la voie de l'enfer parce qu'il est [MASK] .","PersonX pave la voie de l'enfer parce qu'elle est [MASK] .","PersonX pave la voie de l'enfer parce qu'il [MASK] .","PersonX pave la voie de l'enfer parce qu'elle [MASK] .","PersonX pave la voie de l'enfer pour son [MASK] .","PersonX pave la voie de l'enfer pour sa [MASK] ."
