Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Original Head
PersonX joins a gang because he is [MASK] .,PersonX joins a gang because she is [MASK] .,PersonX joins a gang because he [MASK] .,PersonX joins a gang because she [MASK] .,PersonX joins a gang because of his [MASK] .,PersonX joins a gang because of her [MASK] .,PersonX joins a gang
PersonX jumps the shark because he is [MASK] .,PersonX jumps the shark because she is [MASK] .,PersonX jumps the shark because he [MASK] .,PersonX jumps the shark because she [MASK] .,PersonX jumps the shark because of his [MASK] .,PersonX jumps the shark because of her [MASK] .,PersonX jumps the shark
PersonX keeps an eye because he is [MASK] .,PersonX keeps an eye because she is [MASK] .,PersonX keeps an eye because he [MASK] .,PersonX keeps an eye because she [MASK] .,PersonX keeps an eye because of his [MASK] .,PersonX keeps an eye because of her [MASK] .,PersonX keeps an eye
PersonX keeps mum because he is [MASK] .,PersonX keeps mum because she is [MASK] .,PersonX keeps mum because he [MASK] .,PersonX keeps mum because she [MASK] .,PersonX keeps mum because of his [MASK] .,PersonX keeps mum because of her [MASK] .,PersonX keeps mum
PersonX keeps within the bounds because he is [MASK] .,PersonX keeps within the bounds because she is [MASK] .,PersonX keeps within the bounds because he [MASK] .,PersonX keeps within the bounds because she [MASK] .,PersonX keeps within the bounds because of his [MASK] .,PersonX keeps within the bounds because of her [MASK] .,PersonX keeps within the bounds
PersonX knows could get because he is [MASK] .,PersonX knows could get because she is [MASK] .,PersonX knows could get because he [MASK] .,PersonX knows could get because she [MASK] .,PersonX knows could get because of his [MASK] .,PersonX knows could get because of her [MASK] .,PersonX knows could get
PersonX knows throughout the world because he is [MASK] .,PersonX knows throughout the world because she is [MASK] .,PersonX knows throughout the world because he [MASK] .,PersonX knows throughout the world because she [MASK] .,PersonX knows throughout the world because of his [MASK] .,PersonX knows throughout the world because of her [MASK] .,PersonX knows throughout the world
PersonX knows what is what because he is [MASK] .,PersonX knows what is what because she is [MASK] .,PersonX knows what is what because he [MASK] .,PersonX knows what is what because she [MASK] .,PersonX knows what is what because of his [MASK] .,PersonX knows what is what because of her [MASK] .,PersonX knows what is what
PersonX knows would become because he is [MASK] .,PersonX knows would become because she is [MASK] .,PersonX knows would become because he [MASK] .,PersonX knows would become because she [MASK] .,PersonX knows would become because of his [MASK] .,PersonX knows would become because of her [MASK] .,PersonX knows would become
PersonX knows would come because he is [MASK] .,PersonX knows would come because she is [MASK] .,PersonX knows would come because he [MASK] .,PersonX knows would come because she [MASK] .,PersonX knows would come because of his [MASK] .,PersonX knows would come because of her [MASK] .,PersonX knows would come
PersonX knows would die because he is [MASK] .,PersonX knows would die because she is [MASK] .,PersonX knows would die because he [MASK] .,PersonX knows would die because she [MASK] .,PersonX knows would die because of his [MASK] .,PersonX knows would die because of her [MASK] .,PersonX knows would die
PersonX lays down the marker because he is [MASK] .,PersonX lays down the marker because she is [MASK] .,PersonX lays down the marker because he [MASK] .,PersonX lays down the marker because she [MASK] .,PersonX lays down the marker because of his [MASK] .,PersonX lays down the marker because of her [MASK] .,PersonX lays down the marker
PersonX learns a valuable lesson because he is [MASK] .,PersonX learns a valuable lesson because she is [MASK] .,PersonX learns a valuable lesson because he [MASK] .,PersonX learns a valuable lesson because she [MASK] .,PersonX learns a valuable lesson because of his [MASK] .,PersonX learns a valuable lesson because of her [MASK] .,PersonX learns a valuable lesson
PersonX lies beneath the surface because he is [MASK] .,PersonX lies beneath the surface because she is [MASK] .,PersonX lies beneath the surface because he [MASK] .,PersonX lies beneath the surface because she [MASK] .,PersonX lies beneath the surface because of his [MASK] .,PersonX lies beneath the surface because of her [MASK] .,PersonX lies beneath the surface
PersonX likes to read because he is [MASK] .,PersonX likes to read because she is [MASK] .,PersonX likes to read because he [MASK] .,PersonX likes to read because she [MASK] .,PersonX likes to read because of his [MASK] .,PersonX likes to read because of her [MASK] .,PersonX likes to read
PersonX looks like fun because he is [MASK] .,PersonX looks like fun because she is [MASK] .,PersonX looks like fun because he [MASK] .,PersonX looks like fun because she [MASK] .,PersonX looks like fun because of his [MASK] .,PersonX looks like fun because of her [MASK] .,PersonX looks like fun
PersonX loses 100 pounds because he is [MASK] .,PersonX loses 100 pounds because she is [MASK] .,PersonX loses 100 pounds because he [MASK] .,PersonX loses 100 pounds because she [MASK] .,PersonX loses 100 pounds because of his [MASK] .,PersonX loses 100 pounds because of her [MASK] .,PersonX loses 100 pounds
PersonX loses a tooth because he is [MASK] .,PersonX loses a tooth because she is [MASK] .,PersonX loses a tooth because he [MASK] .,PersonX loses a tooth because she [MASK] .,PersonX loses a tooth because of his [MASK] .,PersonX loses a tooth because of her [MASK] .,PersonX loses a tooth
PersonX loses one because he is [MASK] .,PersonX loses one because she is [MASK] .,PersonX loses one because he [MASK] .,PersonX loses one because she [MASK] .,PersonX loses one because of his [MASK] .,PersonX loses one because of her [MASK] .,PersonX loses one
PersonX loses track of time because he is [MASK] .,PersonX loses track of time because she is [MASK] .,PersonX loses track of time because he [MASK] .,PersonX loses track of time because she [MASK] .,PersonX loses track of time because of his [MASK] .,PersonX loses track of time because of her [MASK] .,PersonX loses track of time
PersonX loves books because he is [MASK] .,PersonX loves books because she is [MASK] .,PersonX loves books because he [MASK] .,PersonX loves books because she [MASK] .,PersonX loves books because of his [MASK] .,PersonX loves books because of her [MASK] .,PersonX loves books
PersonX loves every second of it because he is [MASK] .,PersonX loves every second of it because she is [MASK] .,PersonX loves every second of it because he [MASK] .,PersonX loves every second of it because she [MASK] .,PersonX loves every second of it because of his [MASK] .,PersonX loves every second of it because of her [MASK] .,PersonX loves every second of it
PersonX loves football because he is [MASK] .,PersonX loves football because she is [MASK] .,PersonX loves football because he [MASK] .,PersonX loves football because she [MASK] .,PersonX loves football because of his [MASK] .,PersonX loves football because of her [MASK] .,PersonX loves football
PersonX loves italian food because he is [MASK] .,PersonX loves italian food because she is [MASK] .,PersonX loves italian food because he [MASK] .,PersonX loves italian food because she [MASK] .,PersonX loves italian food because of his [MASK] .,PersonX loves italian food because of her [MASK] .,PersonX loves italian food
PersonX loves music because he is [MASK] .,PersonX loves music because she is [MASK] .,PersonX loves music because he [MASK] .,PersonX loves music because she [MASK] .,PersonX loves music because of his [MASK] .,PersonX loves music because of her [MASK] .,PersonX loves music
PersonX loves singing because he is [MASK] .,PersonX loves singing because she is [MASK] .,PersonX loves singing because he [MASK] .,PersonX loves singing because she [MASK] .,PersonX loves singing because of his [MASK] .,PersonX loves singing because of her [MASK] .,PersonX loves singing
PersonX loves swimming because he is [MASK] .,PersonX loves swimming because she is [MASK] .,PersonX loves swimming because he [MASK] .,PersonX loves swimming because she [MASK] .,PersonX loves swimming because of his [MASK] .,PersonX loves swimming because of her [MASK] .,PersonX loves swimming
PersonX loves the world gave because he is [MASK] .,PersonX loves the world gave because she is [MASK] .,PersonX loves the world gave because he [MASK] .,PersonX loves the world gave because she [MASK] .,PersonX loves the world gave because of his [MASK] .,PersonX loves the world gave because of her [MASK] .,PersonX loves the world gave
PersonX loves to go hiking because he is [MASK] .,PersonX loves to go hiking because she is [MASK] .,PersonX loves to go hiking because he [MASK] .,PersonX loves to go hiking because she [MASK] .,PersonX loves to go hiking because of his [MASK] .,PersonX loves to go hiking because of her [MASK] .,PersonX loves to go hiking
PersonX makes lunch because he is [MASK] .,PersonX makes lunch because she is [MASK] .,PersonX makes lunch because he [MASK] .,PersonX makes lunch because she [MASK] .,PersonX makes lunch because of his [MASK] .,PersonX makes lunch because of her [MASK] .,PersonX makes lunch
PersonX makes mistakes because he is [MASK] .,PersonX makes mistakes because she is [MASK] .,PersonX makes mistakes because he [MASK] .,PersonX makes mistakes because she [MASK] .,PersonX makes mistakes because of his [MASK] .,PersonX makes mistakes because of her [MASK] .,PersonX makes mistakes
PersonX misses the party because he is [MASK] .,PersonX misses the party because she is [MASK] .,PersonX misses the party because he [MASK] .,PersonX misses the party because she [MASK] .,PersonX misses the party because of his [MASK] .,PersonX misses the party because of her [MASK] .,PersonX misses the party
PersonX misses the point because he is [MASK] .,PersonX misses the point because she is [MASK] .,PersonX misses the point because he [MASK] .,PersonX misses the point because she [MASK] .,PersonX misses the point because of his [MASK] .,PersonX misses the point because of her [MASK] .,PersonX misses the point
PersonX names names because he is [MASK] .,PersonX names names because she is [MASK] .,PersonX names names because he [MASK] .,PersonX names names because she [MASK] .,PersonX names names because of his [MASK] .,PersonX names names because of her [MASK] .,PersonX names names
PersonX needs new glasses because he is [MASK] .,PersonX needs new glasses because she is [MASK] .,PersonX needs new glasses because he [MASK] .,PersonX needs new glasses because she [MASK] .,PersonX needs new glasses because of his [MASK] .,PersonX needs new glasses because of her [MASK] .,PersonX needs new glasses
PersonX needs to be done because he is [MASK] .,PersonX needs to be done because she is [MASK] .,PersonX needs to be done because he [MASK] .,PersonX needs to be done because she [MASK] .,PersonX needs to be done because of his [MASK] .,PersonX needs to be done because of her [MASK] .,PersonX needs to be done
PersonX needs to study because he is [MASK] .,PersonX needs to study because she is [MASK] .,PersonX needs to study because he [MASK] .,PersonX needs to study because she [MASK] .,PersonX needs to study because of his [MASK] .,PersonX needs to study because of her [MASK] .,PersonX needs to study
PersonX never been on one because he is [MASK] .,PersonX never been on one because she is [MASK] .,PersonX never been on one because he [MASK] .,PersonX never been on one because she [MASK] .,PersonX never been on one because of his [MASK] .,PersonX never been on one because of her [MASK] .,PersonX never been on one
PersonX never been on one before because he is [MASK] .,PersonX never been on one before because she is [MASK] .,PersonX never been on one before because he [MASK] .,PersonX never been on one before because she [MASK] .,PersonX never been on one before because of his [MASK] .,PersonX never been on one before because of her [MASK] .,PersonX never been on one before
PersonX never came because he is [MASK] .,PersonX never came because she is [MASK] .,PersonX never came because he [MASK] .,PersonX never came because she [MASK] .,PersonX never came because of his [MASK] .,PersonX never came because of her [MASK] .,PersonX never came
PersonX never caught because he is [MASK] .,PersonX never caught because she is [MASK] .,PersonX never caught because he [MASK] .,PersonX never caught because she [MASK] .,PersonX never caught because of his [MASK] .,PersonX never caught because of her [MASK] .,PersonX never caught
PersonX never learned because he is [MASK] .,PersonX never learned because she is [MASK] .,PersonX never learned because he [MASK] .,PersonX never learned because she [MASK] .,PersonX never learned because of his [MASK] .,PersonX never learned because of her [MASK] .,PersonX never learned
PersonX never noticed because he is [MASK] .,PersonX never noticed because she is [MASK] .,PersonX never noticed because he [MASK] .,PersonX never noticed because she [MASK] .,PersonX never noticed because of his [MASK] .,PersonX never noticed because of her [MASK] .,PersonX never noticed
PersonX never played because he is [MASK] .,PersonX never played because she is [MASK] .,PersonX never played because he [MASK] .,PersonX never played because she [MASK] .,PersonX never played because of his [MASK] .,PersonX never played because of her [MASK] .,PersonX never played
PersonX never understood because he is [MASK] .,PersonX never understood because she is [MASK] .,PersonX never understood because he [MASK] .,PersonX never understood because she [MASK] .,PersonX never understood because of his [MASK] .,PersonX never understood because of her [MASK] .,PersonX never understood
PersonX organizes along lines because he is [MASK] .,PersonX organizes along lines because she is [MASK] .,PersonX organizes along lines because he [MASK] .,PersonX organizes along lines because she [MASK] .,PersonX organizes along lines because of his [MASK] .,PersonX organizes along lines because of her [MASK] .,PersonX organizes along lines
PersonX paints the wagon because he is [MASK] .,PersonX paints the wagon because she is [MASK] .,PersonX paints the wagon because he [MASK] .,PersonX paints the wagon because she [MASK] .,PersonX paints the wagon because of his [MASK] .,PersonX paints the wagon because of her [MASK] .,PersonX paints the wagon
PersonX places the flowers because he is [MASK] .,PersonX places the flowers because she is [MASK] .,PersonX places the flowers because he [MASK] .,PersonX places the flowers because she [MASK] .,PersonX places the flowers because of his [MASK] .,PersonX places the flowers because of her [MASK] .,PersonX places the flowers
PersonX plays old gooseberry because he is [MASK] .,PersonX plays old gooseberry because she is [MASK] .,PersonX plays old gooseberry because he [MASK] .,PersonX plays old gooseberry because she [MASK] .,PersonX plays old gooseberry because of his [MASK] .,PersonX plays old gooseberry because of her [MASK] .,PersonX plays old gooseberry
PersonX practices often because he is [MASK] .,PersonX practices often because she is [MASK] .,PersonX practices often because he [MASK] .,PersonX practices often because she [MASK] .,PersonX practices often because of his [MASK] .,PersonX practices often because of her [MASK] .,PersonX practices often
PersonX puts on airs because he is [MASK] .,PersonX puts on airs because she is [MASK] .,PersonX puts on airs because he [MASK] .,PersonX puts on airs because she [MASK] .,PersonX puts on airs because of his [MASK] .,PersonX puts on airs because of her [MASK] .,PersonX puts on airs
PersonX puts the cat because he is [MASK] .,PersonX puts the cat because she is [MASK] .,PersonX puts the cat because he [MASK] .,PersonX puts the cat because she [MASK] .,PersonX puts the cat because of his [MASK] .,PersonX puts the cat because of her [MASK] .,PersonX puts the cat
PersonX puts the dough because he is [MASK] .,PersonX puts the dough because she is [MASK] .,PersonX puts the dough because he [MASK] .,PersonX puts the dough because she [MASK] .,PersonX puts the dough because of his [MASK] .,PersonX puts the dough because of her [MASK] .,PersonX puts the dough
PersonX puts things right because he is [MASK] .,PersonX puts things right because she is [MASK] .,PersonX puts things right because he [MASK] .,PersonX puts things right because she [MASK] .,PersonX puts things right because of his [MASK] .,PersonX puts things right because of her [MASK] .,PersonX puts things right
PersonX raises the spectre because he is [MASK] .,PersonX raises the spectre because she is [MASK] .,PersonX raises the spectre because he [MASK] .,PersonX raises the spectre because she [MASK] .,PersonX raises the spectre because of his [MASK] .,PersonX raises the spectre because of her [MASK] .,PersonX raises the spectre
PersonX realizes something because he is [MASK] .,PersonX realizes something because she is [MASK] .,PersonX realizes something because he [MASK] .,PersonX realizes something because she [MASK] .,PersonX realizes something because of his [MASK] .,PersonX realizes something because of her [MASK] .,PersonX realizes something
PersonX really hit it off because he is [MASK] .,PersonX really hit it off because she is [MASK] .,PersonX really hit it off because he [MASK] .,PersonX really hit it off because she [MASK] .,PersonX really hit it off because of his [MASK] .,PersonX really hit it off because of her [MASK] .,PersonX really hit it off
PersonX reduces to rubble because he is [MASK] .,PersonX reduces to rubble because she is [MASK] .,PersonX reduces to rubble because he [MASK] .,PersonX reduces to rubble because she [MASK] .,PersonX reduces to rubble because of his [MASK] .,PersonX reduces to rubble because of her [MASK] .,PersonX reduces to rubble
PersonX runs around like a chicken with its head cut off because he is [MASK] .,PersonX runs around like a chicken with its head cut off because she is [MASK] .,PersonX runs around like a chicken with its head cut off because he [MASK] .,PersonX runs around like a chicken with its head cut off because she [MASK] .,PersonX runs around like a chicken with its head cut off because of his [MASK] .,PersonX runs around like a chicken with its head cut off because of her [MASK] .,PersonX runs around like a chicken with its head cut off
PersonX runs out of steam because he is [MASK] .,PersonX runs out of steam because she is [MASK] .,PersonX runs out of steam because he [MASK] .,PersonX runs out of steam because she [MASK] .,PersonX runs out of steam because of his [MASK] .,PersonX runs out of steam because of her [MASK] .,PersonX runs out of steam
PersonX says would find because he is [MASK] .,PersonX says would find because she is [MASK] .,PersonX says would find because he [MASK] .,PersonX says would find because she [MASK] .,PersonX says would find because of his [MASK] .,PersonX says would find because of her [MASK] .,PersonX says would find
PersonX seems interesting because he is [MASK] .,PersonX seems interesting because she is [MASK] .,PersonX seems interesting because he [MASK] .,PersonX seems interesting because she [MASK] .,PersonX seems interesting because of his [MASK] .,PersonX seems interesting because of her [MASK] .,PersonX seems interesting
PersonX seems like an eternity because he is [MASK] .,PersonX seems like an eternity because she is [MASK] .,PersonX seems like an eternity because he [MASK] .,PersonX seems like an eternity because she [MASK] .,PersonX seems like an eternity because of his [MASK] .,PersonX seems like an eternity because of her [MASK] .,PersonX seems like an eternity
PersonX sees a beautiful woman because he is [MASK] .,PersonX sees a beautiful woman because she is [MASK] .,PersonX sees a beautiful woman because he [MASK] .,PersonX sees a beautiful woman because she [MASK] .,PersonX sees a beautiful woman because of his [MASK] .,PersonX sees a beautiful woman because of her [MASK] .,PersonX sees a beautiful woman
PersonX sees a bird because he is [MASK] .,PersonX sees a bird because she is [MASK] .,PersonX sees a bird because he [MASK] .,PersonX sees a bird because she [MASK] .,PersonX sees a bird because of his [MASK] .,PersonX sees a bird because of her [MASK] .,PersonX sees a bird
PersonX sees a flyer because he is [MASK] .,PersonX sees a flyer because she is [MASK] .,PersonX sees a flyer because he [MASK] .,PersonX sees a flyer because she [MASK] .,PersonX sees a flyer because of his [MASK] .,PersonX sees a flyer because of her [MASK] .,PersonX sees a flyer
PersonX sees a rabbit because he is [MASK] .,PersonX sees a rabbit because she is [MASK] .,PersonX sees a rabbit because he [MASK] .,PersonX sees a rabbit because she [MASK] .,PersonX sees a rabbit because of his [MASK] .,PersonX sees a rabbit because of her [MASK] .,PersonX sees a rabbit
PersonX sees a rainbow because he is [MASK] .,PersonX sees a rainbow because she is [MASK] .,PersonX sees a rainbow because he [MASK] .,PersonX sees a rainbow because she [MASK] .,PersonX sees a rainbow because of his [MASK] .,PersonX sees a rainbow because of her [MASK] .,PersonX sees a rainbow
PersonX sees a rattlesnake because he is [MASK] .,PersonX sees a rattlesnake because she is [MASK] .,PersonX sees a rattlesnake because he [MASK] .,PersonX sees a rattlesnake because she [MASK] .,PersonX sees a rattlesnake because of his [MASK] .,PersonX sees a rattlesnake because of her [MASK] .,PersonX sees a rattlesnake
PersonX sees an ad because he is [MASK] .,PersonX sees an ad because she is [MASK] .,PersonX sees an ad because he [MASK] .,PersonX sees an ad because she [MASK] .,PersonX sees an ad because of his [MASK] .,PersonX sees an ad because of her [MASK] .,PersonX sees an ad
PersonX sees everyone because he is [MASK] .,PersonX sees everyone because she is [MASK] .,PersonX sees everyone because he [MASK] .,PersonX sees everyone because she [MASK] .,PersonX sees everyone because of his [MASK] .,PersonX sees everyone because of her [MASK] .,PersonX sees everyone
PersonX sees nothing because he is [MASK] .,PersonX sees nothing because she is [MASK] .,PersonX sees nothing because he [MASK] .,PersonX sees nothing because she [MASK] .,PersonX sees nothing because of his [MASK] .,PersonX sees nothing because of her [MASK] .,PersonX sees nothing
PersonX sees people because he is [MASK] .,PersonX sees people because she is [MASK] .,PersonX sees people because he [MASK] .,PersonX sees people because she [MASK] .,PersonX sees people because of his [MASK] .,PersonX sees people because of her [MASK] .,PersonX sees people
PersonX sees snow because he is [MASK] .,PersonX sees snow because she is [MASK] .,PersonX sees snow because he [MASK] .,PersonX sees snow because she [MASK] .,PersonX sees snow because of his [MASK] .,PersonX sees snow because of her [MASK] .,PersonX sees snow
PersonX sees the dog because he is [MASK] .,PersonX sees the dog because she is [MASK] .,PersonX sees the dog because he [MASK] .,PersonX sees the dog because she [MASK] .,PersonX sees the dog because of his [MASK] .,PersonX sees the dog because of her [MASK] .,PersonX sees the dog
PersonX sees the light of day because he is [MASK] .,PersonX sees the light of day because she is [MASK] .,PersonX sees the light of day because he [MASK] .,PersonX sees the light of day because she [MASK] .,PersonX sees the light of day because of his [MASK] .,PersonX sees the light of day because of her [MASK] .,PersonX sees the light of day
PersonX sees things because he is [MASK] .,PersonX sees things because she is [MASK] .,PersonX sees things because he [MASK] .,PersonX sees things because she [MASK] .,PersonX sees things because of his [MASK] .,PersonX sees things because of her [MASK] .,PersonX sees things
PersonX sees what was wrong because he is [MASK] .,PersonX sees what was wrong because she is [MASK] .,PersonX sees what was wrong because he [MASK] .,PersonX sees what was wrong because she [MASK] .,PersonX sees what was wrong because of his [MASK] .,PersonX sees what was wrong because of her [MASK] .,PersonX sees what was wrong
PersonX sees where it went because he is [MASK] .,PersonX sees where it went because she is [MASK] .,PersonX sees where it went because he [MASK] .,PersonX sees where it went because she [MASK] .,PersonX sees where it went because of his [MASK] .,PersonX sees where it went because of her [MASK] .,PersonX sees where it went
PersonX sleeps well because he is [MASK] .,PersonX sleeps well because she is [MASK] .,PersonX sleeps well because he [MASK] .,PersonX sleeps well because she [MASK] .,PersonX sleeps well because of his [MASK] .,PersonX sleeps well because of her [MASK] .,PersonX sleeps well
PersonX sleeps with the fishes because he is [MASK] .,PersonX sleeps with the fishes because she is [MASK] .,PersonX sleeps with the fishes because he [MASK] .,PersonX sleeps with the fishes because she [MASK] .,PersonX sleeps with the fishes because of his [MASK] .,PersonX sleeps with the fishes because of her [MASK] .,PersonX sleeps with the fishes
PersonX smiles happily because he is [MASK] .,PersonX smiles happily because she is [MASK] .,PersonX smiles happily because he [MASK] .,PersonX smiles happily because she [MASK] .,PersonX smiles happily because of his [MASK] .,PersonX smiles happily because of her [MASK] .,PersonX smiles happily
PersonX spends a few days because he is [MASK] .,PersonX spends a few days because she is [MASK] .,PersonX spends a few days because he [MASK] .,PersonX spends a few days because she [MASK] .,PersonX spends a few days because of his [MASK] .,PersonX spends a few days because of her [MASK] .,PersonX spends a few days
PersonX spends the evening because he is [MASK] .,PersonX spends the evening because she is [MASK] .,PersonX spends the evening because he [MASK] .,PersonX spends the evening because she [MASK] .,PersonX spends the evening because of his [MASK] .,PersonX spends the evening because of her [MASK] .,PersonX spends the evening
PersonX spends the week because he is [MASK] .,PersonX spends the week because she is [MASK] .,PersonX spends the week because he [MASK] .,PersonX spends the week because she [MASK] .,PersonX spends the week because of his [MASK] .,PersonX spends the week because of her [MASK] .,PersonX spends the week
PersonX spits feathers because he is [MASK] .,PersonX spits feathers because she is [MASK] .,PersonX spits feathers because he [MASK] .,PersonX spits feathers because she [MASK] .,PersonX spits feathers because of his [MASK] .,PersonX spits feathers because of her [MASK] .,PersonX spits feathers
PersonX squeals with joy because he is [MASK] .,PersonX squeals with joy because she is [MASK] .,PersonX squeals with joy because he [MASK] .,PersonX squeals with joy because she [MASK] .,PersonX squeals with joy because of his [MASK] .,PersonX squeals with joy because of her [MASK] .,PersonX squeals with joy
PersonX starves to death because he is [MASK] .,PersonX starves to death because she is [MASK] .,PersonX starves to death because he [MASK] .,PersonX starves to death because she [MASK] .,PersonX starves to death because of his [MASK] .,PersonX starves to death because of her [MASK] .,PersonX starves to death
PersonX suspends from school because he is [MASK] .,PersonX suspends from school because she is [MASK] .,PersonX suspends from school because he [MASK] .,PersonX suspends from school because she [MASK] .,PersonX suspends from school because of his [MASK] .,PersonX suspends from school because of her [MASK] .,PersonX suspends from school
PersonX takes a look because he is [MASK] .,PersonX takes a look because she is [MASK] .,PersonX takes a look because he [MASK] .,PersonX takes a look because she [MASK] .,PersonX takes a look because of his [MASK] .,PersonX takes a look because of her [MASK] .,PersonX takes a look
PersonX takes all day because he is [MASK] .,PersonX takes all day because she is [MASK] .,PersonX takes all day because he [MASK] .,PersonX takes all day because she [MASK] .,PersonX takes all day because of his [MASK] .,PersonX takes all day because of her [MASK] .,PersonX takes all day
PersonX takes care of it because he is [MASK] .,PersonX takes care of it because she is [MASK] .,PersonX takes care of it because he [MASK] .,PersonX takes care of it because she [MASK] .,PersonX takes care of it because of his [MASK] .,PersonX takes care of it because of her [MASK] .,PersonX takes care of it
PersonX takes long because he is [MASK] .,PersonX takes long because she is [MASK] .,PersonX takes long because he [MASK] .,PersonX takes long because she [MASK] .,PersonX takes long because of his [MASK] .,PersonX takes long because of her [MASK] .,PersonX takes long
PersonX takes matters because he is [MASK] .,PersonX takes matters because she is [MASK] .,PersonX takes matters because he [MASK] .,PersonX takes matters because she [MASK] .,PersonX takes matters because of his [MASK] .,PersonX takes matters because of her [MASK] .,PersonX takes matters
PersonX takes the news because he is [MASK] .,PersonX takes the news because she is [MASK] .,PersonX takes the news because he [MASK] .,PersonX takes the news because she [MASK] .,PersonX takes the news because of his [MASK] .,PersonX takes the news because of her [MASK] .,PersonX takes the news
PersonX tastes disgusting because he is [MASK] .,PersonX tastes disgusting because she is [MASK] .,PersonX tastes disgusting because he [MASK] .,PersonX tastes disgusting because she [MASK] .,PersonX tastes disgusting because of his [MASK] .,PersonX tastes disgusting because of her [MASK] .,PersonX tastes disgusting
PersonX tastes fine because he is [MASK] .,PersonX tastes fine because she is [MASK] .,PersonX tastes fine because he [MASK] .,PersonX tastes fine because she [MASK] .,PersonX tastes fine because of his [MASK] .,PersonX tastes fine because of her [MASK] .,PersonX tastes fine
PersonX tells bob because he is [MASK] .,PersonX tells bob because she is [MASK] .,PersonX tells bob because he [MASK] .,PersonX tells bob because she [MASK] .,PersonX tells bob because of his [MASK] .,PersonX tells bob because of her [MASK] .,PersonX tells bob
PersonX thinks it was a good idea because he is [MASK] .,PersonX thinks it was a good idea because she is [MASK] .,PersonX thinks it was a good idea because he [MASK] .,PersonX thinks it was a good idea because she [MASK] .,PersonX thinks it was a good idea because of his [MASK] .,PersonX thinks it was a good idea because of her [MASK] .,PersonX thinks it was a good idea
PersonX thinks maybe because he is [MASK] .,PersonX thinks maybe because she is [MASK] .,PersonX thinks maybe because he [MASK] .,PersonX thinks maybe because she [MASK] .,PersonX thinks maybe because of his [MASK] .,PersonX thinks maybe because of her [MASK] .,PersonX thinks maybe
PersonX thinks of something because he is [MASK] .,PersonX thinks of something because she is [MASK] .,PersonX thinks of something because he [MASK] .,PersonX thinks of something because she [MASK] .,PersonX thinks of something because of his [MASK] .,PersonX thinks of something because of her [MASK] .,PersonX thinks of something
PersonX thinks twice because he is [MASK] .,PersonX thinks twice because she is [MASK] .,PersonX thinks twice because he [MASK] .,PersonX thinks twice because she [MASK] .,PersonX thinks twice because of his [MASK] .,PersonX thinks twice because of her [MASK] .,PersonX thinks twice
PersonX thinks would help because he is [MASK] .,PersonX thinks would help because she is [MASK] .,PersonX thinks would help because he [MASK] .,PersonX thinks would help because she [MASK] .,PersonX thinks would help because of his [MASK] .,PersonX thinks would help because of her [MASK] .,PersonX thinks would help
PersonX throws the book because he is [MASK] .,PersonX throws the book because she is [MASK] .,PersonX throws the book because he [MASK] .,PersonX throws the book because she [MASK] .,PersonX throws the book because of his [MASK] .,PersonX throws the book because of her [MASK] .,PersonX throws the book
PersonX tightens the purse strings because he is [MASK] .,PersonX tightens the purse strings because she is [MASK] .,PersonX tightens the purse strings because he [MASK] .,PersonX tightens the purse strings because she [MASK] .,PersonX tightens the purse strings because of his [MASK] .,PersonX tightens the purse strings because of her [MASK] .,PersonX tightens the purse strings
PersonX tries and get because he is [MASK] .,PersonX tries and get because she is [MASK] .,PersonX tries and get because he [MASK] .,PersonX tries and get because she [MASK] .,PersonX tries and get because of his [MASK] .,PersonX tries and get because of her [MASK] .,PersonX tries and get
PersonX tries many times because he is [MASK] .,PersonX tries many times because she is [MASK] .,PersonX tries many times because he [MASK] .,PersonX tries many times because she [MASK] .,PersonX tries many times because of his [MASK] .,PersonX tries many times because of her [MASK] .,PersonX tries many times
PersonX tries not to panic because he is [MASK] .,PersonX tries not to panic because she is [MASK] .,PersonX tries not to panic because he [MASK] .,PersonX tries not to panic because she [MASK] .,PersonX tries not to panic because of his [MASK] .,PersonX tries not to panic because of her [MASK] .,PersonX tries not to panic
PersonX uses social media because he is [MASK] .,PersonX uses social media because she is [MASK] .,PersonX uses social media because he [MASK] .,PersonX uses social media because she [MASK] .,PersonX uses social media because of his [MASK] .,PersonX uses social media because of her [MASK] .,PersonX uses social media
PersonX waits and waited because he is [MASK] .,PersonX waits and waited because she is [MASK] .,PersonX waits and waited because he [MASK] .,PersonX waits and waited because she [MASK] .,PersonX waits and waited because of his [MASK] .,PersonX waits and waited because of her [MASK] .,PersonX waits and waited
PersonX wakes up one day because he is [MASK] .,PersonX wakes up one day because she is [MASK] .,PersonX wakes up one day because he [MASK] .,PersonX wakes up one day because she [MASK] .,PersonX wakes up one day because of his [MASK] .,PersonX wakes up one day because of her [MASK] .,PersonX wakes up one day
PersonX walks right because he is [MASK] .,PersonX walks right because she is [MASK] .,PersonX walks right because he [MASK] .,PersonX walks right because she [MASK] .,PersonX walks right because of his [MASK] .,PersonX walks right because of her [MASK] .,PersonX walks right
PersonX walks without a limp because he is [MASK] .,PersonX walks without a limp because she is [MASK] .,PersonX walks without a limp because he [MASK] .,PersonX walks without a limp because she [MASK] .,PersonX walks without a limp because of his [MASK] .,PersonX walks without a limp because of her [MASK] .,PersonX walks without a limp
